Acceleration_X,Acceleration_Y,Acceleration_Z,User Accelerometer_x,User Accelerometer_y,User Accelerometer_z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Activity,user
"
-3.95",-7.37,-11.55,-2.42,-7.1,2.91,0.93,-2.15,-0.19,5.78,6.79,38.55,brisk walking,aratrik
"
9.30",-11.32,5.39,-0.09,5.4,1.55,-0.52,1.37,0.7,8.89,5.48,40.5,brisk walking,aratrik
"
12.92",-9.43,0.24,-4.06,-4.8,2.48,2.3,1.8,1.06,9.41,7.09,40.76,brisk walking,aratrik
"
0.97",-14.69,1.84,3.91,0.01,-3.07,-1.39,-0.42,-1.26,7.44,7.78,40.95,brisk walking,aratrik
"
-4.07",-1.94,-2.3,3.02,-4.35,0.43,-0.31,-0.22,-1.77,4.71,6.68,41.4,brisk walking,aratrik
"
-1.42",-3.48,1.71,-5.11,0.73,2.89,0.47,-0.37,0.72,3.68,5.42,41.46,brisk walking,aratrik
"
2.93",-11.99,-14.1,-5,-5.22,-1.93,1.09,0.54,1.69,2.96,4.86,41.21,brisk walking,aratrik
"
-0.88",-20.49,0.61,2.28,2.39,1.47,0.17,2.52,-0.05,0.34,6.66,40.61,brisk walking,aratrik
"
-1.17",-0.08,2.11,6.56,-1.07,-5.06,-1.36,0.33,-2.54,-3.68,5.44,40.28,brisk walking,aratrik
"
-23.30",-19.74,-23.24,-5.34,-5.62,1.4,0.82,-2.54,-0.12,-5.87,4.97,40.63,brisk walking,aratrik
"
7.19",-4.06,3.39,-1.73,0.82,-1.3,0.12,1.09,1.72,-6.77,3.36,40.93,brisk walking,aratrik
"
16.18",-3.95,-5.75,-3.79,-2.72,3.66,1.33,2.26,0.69,-9.02,4.65,39.62,brisk walking,aratrik
"
-0.61",-12.47,-0.33,5.83,2.01,-2.23,-1.69,-0.03,-2.17,-12.26,4.89,38.29,brisk walking,aratrik
"
8.76",-8.25,-8.54,0.09,-5.97,0.89,0.77,-1.2,-0.85,-15.54,4.35,37.63,brisk walking,aratrik
"
0.52",-1.51,3.2,-5.07,4.38,2.03,-0.25,-0.2,0.7,-17.18,2.34,37.46,brisk walking,aratrik
"
2.31",-12.71,-13.69,-1.51,-5.22,-0.41,1.63,0.66,1.3,-17.03,1.37,37.91,brisk walking,aratrik
"
-0.21",-19.03,1.84,2.26,1.97,0.38,-0.42,1.13,-0.09,-18,3.28,36.83,brisk walking,aratrik
"
3.15",-3.62,0.5,3.36,-2.04,-3.23,-0.79,0.12,-1.84,-21.24,3.36,35.25,brisk walking,aratrik
"
-2.42",-28.85,6.61,-3.56,-1.86,1.31,0.57,-1.14,-0.22,-22.48,2.1,35.1,brisk walking,aratrik
"
6.99",-5.71,-0.38,-2.71,-0.55,-2.68,-0.36,-0.02,1.12,-22.88,-0.38,35.46,brisk walking,aratrik
"
10.76",-7.95,-10.82,-3,-2.4,5.22,1.31,2.02,1.23,-22.58,1.88,35.64,brisk walking,aratrik
"
2.06",-6.73,-1.63,5.12,3.25,-2.4,-1.57,0.33,-2.43,-24,2.85,34.31,brisk walking,aratrik
"
-1.11",-0.32,-6.73,-1.37,-6.92,0.48,0.61,-1.32,-0.37,-25.74,2.18,33.11,brisk walking,aratrik
"
-3.40",-2.52,2.15,-3.79,5.28,2.79,-0.18,0.24,0.18,-26.48,0.54,32.91,brisk walking,aratrik
"
6.21",-9.2,2.86,-2.2,-5.06,-0.65,1.12,0.41,1.37,-26.76,-0.38,32.53,brisk walking,aratrik
"
0.77",-18.65,3.85,0.72,0.62,0.72,-0.41,0.85,0.35,-27.36,1.91,31.2,brisk walking,aratrik
"
2.45",-5.33,0.6,5.86,-0.31,-1.55,-0.38,-0.29,-2.27,-29.78,1.76,28.91,brisk walking,aratrik
"
-10.25",-6.96,5.47,-3.39,-4.46,1.45,0.52,-1.54,-0.33,-29.91,0.73,28.78,brisk walking,aratrik
"
4.59",-7.12,2.77,-3.17,0.82,-0.7,-0.14,-0.05,1.33,-29.33,-1.63,29.7,brisk walking,aratrik
"
16.75",-3.43,-2.94,-3.54,-4.7,4.41,1.19,2.52,1.24,-29.93,-0.56,29.53,brisk walking,aratrik
"
-1.29",-12.13,0.2,5.61,2.37,-1.79,-1.33,-0.14,-2.33,-30.73,1.33,28.5,brisk walking,aratrik
"
2.26",-9.12,-16.02,-2.96,-6.91,1.16,0.44,-1.15,-0.73,-31.71,1.03,28.03,brisk walking,aratrik
"
-4.02",-2.68,1.05,-4.7,4.47,3.46,0.02,0.05,0.34,-31.18,-0.36,28.03,brisk walking,aratrik
"
1.11",-12.39,-1.74,-1.51,-4.72,-1.04,1.04,0.45,1.32,-30.58,-2.16,29.08,brisk walking,aratrik
"
7.35",-17.1,-7.37,0.31,1.51,0.73,0.26,0.8,0.89,-30.81,-0.13,28.59,brisk walking,aratrik
"
1.39",-8.11,0.23,5.44,-0.35,-0.98,-1.65,-0.35,-2.16,-32.23,0.69,27.19,brisk walking,aratrik
"
13.85",-22.94,-10.92,-3.87,-5.47,2.07,1.03,-1.63,-0.17,-32.66,0.13,26.64,brisk walking,aratrik
"
7.86",-15.18,6.57,-2.73,4.57,1.31,-0.69,0.37,0.02,-32.21,-2.27,27.69,brisk walking,aratrik
"
6.16",-8.55,-0.91,-0.76,-2.99,2.67,1.71,0.86,1.08,-31.16,-2.57,29.04,brisk walking,aratrik
"
2.42",-17.76,2.3,0.91,-0.78,-1.05,-0.81,-0.28,-0.26,-30.79,-0.24,29.76,brisk walking,aratrik
"
0.74",-2.23,1.59,2.93,-2.78,-0.01,-0.73,0.03,-1.57,-30.79,-0.45,29.72,brisk walking,aratrik
"
2.22",-30.93,-1.28,-4.8,-0.23,2.58,0.58,0.22,-0.09,-30.51,-1.54,30,brisk walking,aratrik
"
4.95",-5.57,1.24,-2.08,-3.28,-2.47,-0.19,-0.55,1.54,-30.15,-3.38,30.88,brisk walking,aratrik
"
10.54",-7.37,1.59,-1.31,0.44,3.87,1.16,2.39,0.92,-30.15,-2.21,30.81,brisk walking,aratrik
"
-6.97",-11.49,2.84,4.57,2.23,-2.7,-1.49,-0.72,-2.07,-30.98,-0.26,29.48,brisk walking,aratrik
"
-1.54",-2.64,-6.46,-1.38,-8.2,2.93,0.68,-0.95,-0.65,-31.84,-0.41,28.35,brisk walking,aratrik
"
-4.21",-0.58,4.52,-5.2,6.39,1.97,-0.71,0.56,0.53,-32.04,-1.63,27.92,brisk walking,aratrik
"
9.11",-9.71,4.36,-1,-5.63,0.72,1.23,0.5,1.53,-32.4,-3.09,27.56,brisk walking,aratrik
"
7.06",-16.24,5.08,0.06,1.14,1.3,-0.2,1.2,0.18,-33.66,0.47,25.61,brisk walking,aratrik
"
3.53",-3,0.17,6.74,-0.09,-1.74,-0.89,-0.42,-2.42,-34.69,1.61,23.19,brisk walking,aratrik
"
2.70",-13.75,-6.31,-6.47,-6.39,1.95,0.62,-1.24,-0.23,-35.21,1.09,22.76,brisk walking,aratrik
"
2.35",-7.28,1.34,-2.21,0.71,-0.66,-0.3,0.35,1.42,-36.13,-1.2,22.43,brisk walking,aratrik
"
12.99",-9.01,1.3,-4.26,-4.34,4.49,1.42,1.62,1.53,-36.47,-0.84,22.54,brisk walking,aratrik
"
-3.32",-17.31,1.54,-4.26,-4.34,4.49,-1.35,-0.77,-2.32,-36.73,1.73,20.44,brisk walking,aratrik
"
-2.75",-2.94,3.01,4.53,1.82,-1.07,0.61,-1.32,-1.07,-37.59,0.77,18.66,brisk walking,aratrik
"
-1.40",-4.59,3.12,0.06,-7.71,1.72,-0.24,0.13,0.66,-36.58,0.08,19.39,brisk walking,aratrik
"
5.17",-2.85,-0.16,-2.14,-5.72,-0.92,1.15,0.42,1.48,-36.04,-1.78,20.96,brisk walking,aratrik
"
12.53",-12.21,-2.12,0.48,2.23,1.92,0.36,1.85,0.5,-35.79,0.41,20.27,brisk walking,aratrik
